@ NAME             %16s "INITIAL_PS_DISTR"
@ TYPE             %04s "USER"
@ TITLE            %11s "SPS SE init"
@ ORIGIN           %22s "MAD-X 5.01.00 Linux 64"
@ DATE             %08s "16/12/13"
@ TIME             %08s "15.28.02"
 *  NUMBER   TURN       X    PX     Y    PY    T   PT
 $      %d     %d     %le   %le   %le   %le  %le  %le
         1      0   1.00E-4   0.0   0.0  0.0  0.0  0.0
         2      0   5.00E-4   0.0   0.0  0.0  0.0  0.0
         3      0   1.00E-3   0.0   0.0  0.0  0.0  0.0
         4      0   1.50E-3   0.0   0.0  0.0  0.0  0.0
         5      0   2.00E-3   0.0   0.0  0.0  0.0  0.0
         6      0   2.10E-3   0.0   0.0  0.0  0.0  0.0
         7      0   2.20E-3   0.0   0.0  0.0  0.0  0.0
         8      0   2.30E-3   0.0   0.0  0.0  0.0  0.0
         9      0   2.40E-3   0.0   0.0  0.0  0.0  0.0
         10     0   2.50E-3   0.0   0.0  0.0  0.0  0.0
         11     0   2.60E-3   0.0   0.0  0.0  0.0  0.0
         12     0   2.70E-3   0.0   0.0  0.0  0.0  0.0
         13     0   2.80E-3   0.0   0.0  0.0  0.0  0.0
         14     0   2.90E-3   0.0   0.0  0.0  0.0  0.0
         15     0   3.00E-3   0.0   0.0  0.0  0.0  0.0
