@ NAME             %16s "INITIAL_PS_DISTR"
@ TYPE             %04s "USER"
@ TITLE            %11s "SPS SE init"
@ ORIGIN           %22s "MAD-X 5.01.00 Linux 64"
@ DATE             %08s "16/12/13"
@ TIME             %08s "15.28.02"
 *  NUMBER  TURN                   X                  PX                   Y                  PY    T                  PT    S      E 
 $      %d    %d                 %le                 %le                 %le                 %le  %le                 %le  %le    %le 
         1     0    0.00243697092241   5.81930518694e-05   0.000806220081405  -2.15585812485e-05  0.0   6.03088038272e-06  0.0  400.0 
         2     0   -1.5246924752e-06    1.4874541691e-05   0.000315898494725   1.36860283885e-05  0.0   7.00588821835e-05  0.0  400.0 
         3     0   0.000748342361586   2.76289094001e-05  -0.000548974297723   3.97234745279e-05  0.0  -0.000170002826535  0.0  400.0 
         4     0   5.46603836013e-05   1.03505119761e-05  -7.25936274623e-05   5.96647791942e-05  0.0  -1.06145926015e-05  0.0  400.0 
         5     0    0.00181354595447   4.87582765928e-05   -0.00165979284559   5.64643714093e-05  0.0  -4.10680722238e-05  0.0  400.0 
         6     0   0.000519458778715   3.33836895017e-05  -0.000629071207514   1.80084422344e-05  0.0   8.96019374428e-05  0.0  400.0 
         7     0    0.00162348587247   4.16859233185e-05  -0.000443783490154   5.50339667467e-05  0.0   0.000127753149847  0.0  400.0 
         8     0   -0.00144374769937  -3.11568358263e-05   0.000101341818122  -1.44980459659e-05  0.0  -0.000146317518388  0.0  400.0 
         9     0   -0.00185207175255  -1.79245213474e-05  -0.000314951736264   2.33606768907e-06  0.0  -0.000120394181098  0.0  400.0 
        10     0  -0.000255298184867   2.39176070571e-06   0.000452426468759   3.78930212694e-06  0.0   0.000173175021227  0.0  400.0 
        11     0   0.000546166251036   1.29779006384e-05  -0.000327887849953   6.09635736403e-05  0.0    0.00016047196093  0.0  400.0 
        12     0    0.00524720802699    0.00011210365766   6.14024257525e-05   1.15100241979e-05  0.0  -0.000100062607275  0.0  400.0 
        13     0   0.000698616331697   2.87787507457e-06  -0.000432577537423   6.88871323037e-05  0.0  -0.000230561335288  0.0  400.0 
        14     0    0.00189502557731   6.06652530211e-05  -0.000726554399518   2.98204228673e-05  0.0  -0.000183775791694  0.0  400.0 
        15     0    0.00267395239269     6.794343331e-05  -1.32174744077e-05   3.07107431349e-05  0.0  -0.000133479019322  0.0  400.0 
        16     0   0.000996693257139   3.81377418714e-05   0.000632014743607  -1.03925378473e-05  0.0   1.78503746654e-05  0.0  400.0 
        17     0   0.000435504739691   2.60113223507e-05   0.000214245693258  -3.83093461775e-05  0.0   7.76182096832e-05  0.0  400.0 
        18     0    0.00158721729972  -9.29978294587e-06   0.000867768969137   4.88628199926e-06  0.0   9.24668270736e-05  0.0  400.0 
        19     0   0.000585936636571   2.55306528871e-05    0.00102585849334   4.35140848542e-05  0.0    0.00019198226837  0.0  400.0 
        20     0    0.00339886186469   8.24402797086e-05   0.000275118128854    2.1102487441e-05  0.0  -0.000210516009546  0.0  400.0 
        21     0    0.00304024584099   4.49851727649e-05   0.000529718219424   6.08284977267e-05  0.0  -2.27972628172e-05  0.0  400.0 
        22     0   0.000637785047375   2.17298817368e-05  -0.000376900608117    2.8456014792e-05  0.0   0.000208824648014  0.0  400.0 
        23     0    0.00175644615152   4.36083062977e-05  -0.000987110684377   6.22478695333e-05  0.0  -0.000120120612446  0.0  400.0 
        24     0  -0.000685017266988  -1.23369948134e-05  -0.000304585810174   1.02766286471e-05  0.0   0.000237704056157  0.0  400.0 
        25     0    0.00406666570366   8.83455718103e-05   0.000538424414613  -2.15345860314e-05  0.0  -5.32744910373e-07  0.0  400.0 
        26     0   0.000965785541149     2.214744399e-05    0.00152853556675  -2.73786190469e-05  0.0   2.16225697901e-05  0.0  400.0 
        27     0   0.000284926883079  -1.00249268744e-05   0.000604497517927   1.55104765571e-05  0.0  -0.000120236534927  0.0  400.0 
        28     0      0.003913171782   0.000103072777259   0.000629429494806   3.17231638352e-05  0.0    0.00010139266519  0.0  400.0 
        29     0    0.00130474807235   3.78746777226e-05    0.00117839268586   -2.8165818129e-05  0.0  -2.09507446202e-05  0.0  400.0 
        30     0     6.868382203e-06   4.34055074004e-06   0.000251439547351   2.74724026851e-05  0.0  -0.000230361141792  0.0  400.0 
        31     0   0.000114563764314    2.5829740681e-06   0.000842291345951   -3.2286331749e-05  0.0  -7.28860899196e-05  0.0  400.0 
        32     0    0.00268291490155   7.63882791097e-05   -0.00113626138564   8.09761384784e-05  0.0   0.000168521388964  0.0  400.0 
        33     0   0.000750423783874   2.95908813499e-05  -0.000383837418897   2.56438467609e-05  0.0  -0.000140110552614  0.0  400.0 
        34     0    0.00130893640915   2.70532147192e-05  -0.000169431321078   3.00762301058e-05  0.0   0.000220357399776  0.0  400.0 
        35     0   0.000395203869051   2.03406909077e-05   -0.00115047377449   4.03076833711e-05  0.0   1.91359010996e-05  0.0  400.0 
        36     0   0.000166031114858   2.29460905207e-05    -6.265238983e-05   3.23438172075e-05  0.0   0.000158871948002  0.0  400.0 
        37     0    0.00372178781853   7.94821441665e-05  -0.000518360053441   6.63402739131e-05  0.0  -4.64213830167e-05  0.0  400.0 
        38     0    0.00205949067301   3.61875091382e-05   0.000459215404606   7.99906097488e-06  0.0  -0.000222666773429  0.0  400.0 
        39     0    0.00349304394368   9.89530917039e-05   0.000857634936065   4.54430595366e-05  0.0   0.000177313675188  0.0  400.0 
        40     0    0.00300161813361    6.5630936302e-05  -0.000206533433275   2.67489236937e-05  0.0  -6.40408834999e-05  0.0  400.0 
        41     0   0.000600478952016  -4.58522422834e-06  -0.000474639264583   4.82534891782e-05  0.0  -0.000218406074049  0.0  400.0 
        42     0    0.00326691643641   8.50764346598e-05   0.000555001497438  -1.29113912511e-05  0.0   8.27263627576e-05  0.0  400.0 
        43     0    0.00348377214057   9.48552552068e-05  -0.000746715638955  -1.53936807403e-05  0.0  -0.000145856171335  0.0  400.0 
        44     0   0.000886942839687   8.73325335093e-06   0.000772816943336  -4.01614133567e-06  0.0  -0.000128214683025  0.0  400.0 
        45     0   -0.00112784207025  -1.35315407748e-05  -0.000717482864372   2.90816706727e-05  0.0    0.00018787062838  0.0  400.0 
        46     0     0.0017346354041    4.6959829091e-05   0.000228319620545   1.95609158469e-05  0.0   7.51933188127e-06  0.0  400.0 
        47     0    0.00328189722857   7.46572746763e-05  -0.000368163913964   1.10517179741e-05  0.0   -0.00024966483333  0.0  400.0 
        48     0   -0.00104720750054    4.5389743656e-06   0.000690794144374  -1.27405619752e-05  0.0    4.3896860626e-05  0.0  400.0 
        49     0    0.00187013233673   1.54857633445e-05   0.000232934831833    3.7339717124e-05  0.0   9.39516127023e-05  0.0  400.0 
        50     0   0.000591551576977   2.46200073984e-05  -0.000316198297448   3.63097373173e-05  0.0  -7.44442570382e-05  0.0  400.0 
        51     0   0.000745781508828   2.69654129514e-05  -6.04180059777e-05   5.04854268988e-05  0.0  -9.28719123765e-06  0.0  400.0 
